,Mk,year,Ft,Ewltp (g/km) mean
0,Aiways,2019,electric,0.0
1,Aiways,2020,electric,0.0
2,Aiways,2021,electric,0.0
3,Alfa Romeo,2015,diesel,137.9953110047847
4,Alfa Romeo,2015,lpg,171.48695652173913
5,Alfa Romeo,2015,petrol,172.19693063228974
6,Alfa Romeo,2016,diesel,137.67582846003899
7,Alfa Romeo,2016,lpg,170.76428571428573
8,Alfa Romeo,2016,petrol,174.56120358514727
9,Alfa Romeo,2017,diesel,144.79264909847433
10,Alfa Romeo,2017,lpg,170.71219512195123
11,Alfa Romeo,2017,petrol,177.8385073656846
12,Alfa Romeo,2018,diesel,149.32244158780674
13,Alfa Romeo,2018,lpg,172.2936031701104
14,Alfa Romeo,2018,petrol,187.80477140783745
15,Alfa Romeo,2019,diesel,153.615785997358
16,Alfa Romeo,2019,petrol,191.55150534958946
17,Alfa Romeo,2020,diesel,153.615785997358
18,Alfa Romeo,2020,petrol,191.55150534958946
19,Alfa Romeo,2021,diesel,153.615785997358
20,Alfa Romeo,2021,petrol,191.55150534958946
21,Alpina,2015,diesel,203.0122448979592
22,Alpina,2015,petrol,259.0421052631579
23,Alpina,2016,diesel,199.25254237288135
24,Alpina,2016,petrol,261.0323529411765
25,Alpina,2017,diesel,198.64509803921567
26,Alpina,2017,petrol,273.67600000000004
27,Alpina,2018,diesel,213.51554404145077
28,Alpina,2018,petrol,289.92626262626266
29,Alpina,2019,diesel,214.29457364341084
30,Alpina,2019,petrol,263.12048192771084
31,Alpina,2020,diesel,214.29457364341084
32,Alpina,2020,petrol,263.12048192771084
33,Alpina,2021,diesel,214.29457364341084
34,Alpina,2021,petrol,263.12048192771084
35,Alpine,2017,petrol,178.1
36,Alpine,2018,petrol,173.01422902494332
37,Alpine,2019,petrol,154.61936978683966
38,Alpine,2020,petrol,154.61936978683966
39,Alpine,2021,petrol,154.61936978683966
40,Aston Martin,2015,diesel,398.9142857142857
41,Aston Martin,2015,petrol,410.44453125
42,Aston Martin,2016,diesel,409.24
43,Aston Martin,2016,petrol,405.5943231441048
44,Aston Martin,2017,petrol,385.22162162162164
45,Aston Martin,2018,diesel,392.6000000000001
46,Aston Martin,2018,petrol,327.6857705563762
47,Aston Martin,2019,diesel,295.0
48,Aston Martin,2019,petrol,291.7657608695652
49,Aston Martin,2020,diesel,295.0
50,Aston Martin,2020,petrol,291.7657608695652
51,Aston Martin,2021,diesel,295.0
52,Aston Martin,2021,petrol,291.7657608695652
53,Audi,2015,diesel,172.4972365526895
54,Audi,2015,diesel-electric,53.300000000000004
55,Audi,2015,e85,200.2
56,Audi,2015,ng-biomethane,122.02156862745099
57,Audi,2015,petrol,188.2836094297547
58,Audi,2015,petrol-electric,55.01052631578948
59,Audi,2016,diesel,164.5856569497254
60,Audi,2016,diesel-electric,64.29781021897811
61,Audi,2016,electric,0.0
62,Audi,2016,lpg,125.66666666666667
63,Audi,2016,ng-biomethane,126.76466165413534
64,Audi,2016,petrol,179.0203057576131
65,Audi,2016,petrol-electric,49.58343558282209
66,Audi,2017,diesel,156.79212430552417
67,Audi,2017,diesel-electric,64.43569979716024
68,Audi,2017,lpg,132.16666666666666
69,Audi,2017,ng-biomethane,130.7594387755102
70,Audi,2017,petrol,163.11459255569
71,Audi,2017,petrol-electric,59.44807467911318
72,Audi,2018,diesel,164.33250779226177
73,Audi,2018,diesel-electric,64.58393623543839
74,Audi,2018,electric,0.0
75,Audi,2018,lpg,163.8
76,Audi,2018,ng,132.61524390243903
77,Audi,2018,petrol,171.05947575644842
78,Audi,2018,petrol-electric,49.97233766233766
79,Audi,2019,diesel,155.36155391318607
80,Audi,2019,diesel-electric,135.66666666666666
81,Audi,2019,electric,0.0
82,Audi,2019,lpg,108.0
83,Audi,2019,ng,113.81022222222222
84,Audi,2019,ng-biomethane,113.66666666666667
85,Audi,2019,petrol,152.97953818807534
86,Audi,2019,petrol-electric,40.037749864716396
87,Audi,2020,diesel,155.36155391318607
88,Audi,2020,diesel-electric,135.66666666666666
89,Audi,2020,electric,0.0
90,Audi,2020,lpg,108.0
91,Audi,2020,ng,113.81022222222222
92,Audi,2020,ng-biomethane,113.66666666666667
93,Audi,2020,petrol,152.97953818807534
94,Audi,2020,petrol-electric,40.037749864716396
95,Audi,2021,diesel,155.36155391318607
96,Audi,2021,diesel-electric,135.66666666666666
97,Audi,2021,electric,0.0
98,Audi,2021,lpg,108.0
99,Audi,2021,ng,113.81022222222222
100,Audi,2021,ng-biomethane,113.66666666666667
101,Audi,2021,petrol,152.97953818807534
102,Audi,2021,petrol-electric,40.037749864716396
103,BAIC,2019,diesel,198.0
104,BAIC,2019,lpg,179.0
105,BAIC,2019,ng-biomethane,206.0
106,BAIC,2019,petrol,201.6078431372549
107,BAIC,2020,diesel,198.0
108,BAIC,2020,lpg,179.0
109,BAIC,2020,ng-biomethane,206.0
110,BAIC,2020,petrol,201.6078431372549
111,BAIC,2021,diesel,198.0
112,BAIC,2021,lpg,179.0
113,BAIC,2021,ng-biomethane,206.0
114,BAIC,2021,petrol,201.6078431372549
115,BMW,2015,diesel,168.91106189245724
116,BMW,2015,diesel-electric,81.46666666666668
117,BMW,2015,electric,0.0
118,BMW,2015,hybrid-petrol-e,198.4568181818182
119,BMW,2015,petrol,205.11175912345786
120,BMW,2015,petrol phev,94.10555555555555
121,BMW,2015,petrol-electric,71.25238095238096
