,Country,year,Ewltp (g/km) mean,Ewltp (g/km) sum,Erwltp (g/km) mean
0,AT,2015,167.35256512956258,9610053.700000001,1.7404081632653061
1,BE,2015,168.88220936999855,4642909.7,2.7889534883720932
2,BG,2015,179.49085267134376,665193.1,3.0766666666666667
3,CY,2015,173.25568573397658,251394.0,
4,CZ,2015,182.92373660030626,2269534.8,1.7077697841726618
5,DE,2015,184.45860922088843,9650136.6,1.8413643410852714
6,DK,2015,157.15672268907562,1458728.7,2.99
7,EE,2015,181.2540369088812,628589.0,4.03
8,ES,2015,165.56163083892474,3873976.6,2.6305882352941174
9,FI,2015,165.4401438548942,1587067.3,1.7929166666666667
10,FR,2015,170.540568733924,4773771.600000001,2.6182
11,GB,2015,173.10509593884873,6657968.2,2.9433333333333334
12,GR,2015,151.7959786765558,1309847.5,1.8066176470588236
13,HR,2015,155.42798940721124,762996.0,3.12
14,HU,2015,174.866938590528,1543375.6,1.916777777777778
15,IE,2015,157.78719024018298,827751.6,2.260555555555556
16,IT,2015,173.93646181413143,3591614.0,3.7076
17,LT,2015,179.01841883936083,638558.7000000001,3.198
18,LU,2015,175.31902800658978,1915535.7,3.5100000000000002
19,LV,2015,181.29006190941672,556379.2,2.6325
20,MT,2015,147.73366548042705,1037829.0,1.56
21,NL,2015,169.20982654764498,2331542.2,2.7570833333333336
22,PL,2015,181.4573172547268,3656546.4,2.061913043478261
23,PT,2015,157.8600829249906,1256408.4000000001,1.956132075471698
24,RO,2015,174.16755898366608,1151595.9000000001,1.7071698113207547
25,SE,2015,176.69749103942652,2070541.2,1.742896551724138
26,SI,2015,166.035621424857,957859.5,1.7766666666666666
27,SK,2015,175.35745403529498,2374866.0,2.548
28,AT,2016,165.60173139638306,11171492.8,1.8333431085043987
29,BE,2016,165.35529247910864,4867729.100000001,2.1284349030470913
30,BG,2016,172.99694008742605,672785.1,2.5500000000000003
31,CY,2016,166.94729658792653,318034.60000000003,2.652
32,CZ,2016,173.66276393380255,1825890.3,2.6571428571428575
33,DE,2016,179.27710017738772,9601185.1,1.799735149451381
34,DK,2016,156.89387545033455,1524224.0,2.6789285714285715
35,EE,2016,176.94502644170237,702648.7000000001,1.903456790123457
36,ES,2016,168.7763940182842,2787679.7,2.6624
37,FI,2016,162.23576185269854,1632254.0,1.8300802139037435
38,FR,2016,167.8837514816278,5098965.3,1.8148818897637795
39,GB,2016,167.43813736638617,7362254.9,1.9569130998702984
40,GR,2016,154.17159029649596,857964.9,1.9155555555555557
41,HR,2016,145.01019289833616,6562726.3,2.2757065217391306
42,HU,2016,169.01766373411533,1729050.7,2.0589595375722545
43,IE,2016,154.2336930232558,829006.1,3.3800000000000003
44,IT,2016,169.46115569823436,3800674.8000000003,3.016
45,LT,2016,173.8897727272727,688603.5,2.4392105263157893
46,LU,2016,170.0354750990599,2188526.6,2.643333333333333
47,LV,2016,172.61568938193344,544602.5,2.2475555555555555
48,MT,2016,145.20623448275862,1052745.2,4.665555555555556
49,NL,2016,163.60922913719943,2313434.5,1.8779843953185957
