,Country,year,Erwltp (g/km) mean,Erwltp (g/km) std
0,AT,2019,1.4925439645890657,0.47601586279152497
1,BE,2019,1.8683244391414373,0.6878435921599557
2,BG,2019,1.4196689486052927,0.5037143588006523
3,CY,2019,,
4,CZ,2019,1.6198927509111982,0.4757931006573155
5,DE,2019,1.4852003884562148,0.49729317306495086
6,DK,2019,1.5689196331416138,0.5132226633048553
7,EE,2019,1.291937626739389,0.5095960561513087
8,ES,2019,1.547605616097174,0.4912114725585789
9,FI,2019,1.3331218680029855,0.5579475049511412
10,FR,2019,1.5206481617406469,0.48771359295500516
11,GR,2019,1.4525792353487732,0.4823781567855589
12,HR,2019,1.939188233630321,0.2680051053717913
13,HU,2019,1.4541756408803097,0.5364673895933891
14,IE,2019,1.483324044142236,0.4718296410037434
15,IS,2019,,
16,IT,2019,1.4914029007614393,0.46347493293822534
17,LT,2019,1.295079122001021,0.4636793078782345
18,LU,2019,1.519991239117341,0.4313482185580164
19,LV,2019,1.2522166387493021,0.49823493454627055
20,MT,2019,1.372504159733777,0.5094579973712041
21,NL,2019,1.51189832398708,0.5587684951632782
22,NO,2019,1.6744359732379026,0.7322322000374664
23,PL,2019,1.5258606079017636,0.4874858286447039
24,PT,2019,1.5157153720303247,0.4661258748166659
25,RO,2019,1.3721287451150672,0.503151779326853
26,SE,2019,1.361122809363058,0.5195621509338527
27,SI,2019,1.5737882051972532,0.5046936553098373
28,SK,2019,1.3961900793926347,0.4716256368487578
29,AT,2020,1.4925439645890657,0.47601586279152497
30,BE,2020,1.8683244391414373,0.6878435921599557
31,BG,2020,1.4196689486052927,0.5037143588006523
32,CY,2020,,
33,CZ,2020,1.6198927509111982,0.4757931006573155
34,DE,2020,1.4852003884562148,0.4972931730649643
35,DK,2020,1.5689196331416138,0.5132226633048553
36,EE,2020,1.291937626739389,0.5095960561513087
37,ES,2020,1.547605616097174,0.49121147255857484
38,FI,2020,1.3331218680029855,0.5579475049511412
39,FR,2020,1.5206481617406469,0.48771359295500516
40,GR,2020,1.4525792353487732,0.4823781567855589
41,HR,2020,1.939188233630321,0.2680051053717913
42,HU,2020,1.4541756408803097,0.5364673895933891
43,IE,2020,1.483324044142236,0.4718296410037434
44,IS,2020,,
45,IT,2020,1.4914029007614393,0.46347493293822534
46,LT,2020,1.295079122001021,0.4636793078782345
47,LU,2020,1.519991239117341,0.4313482185580164
48,LV,2020,1.2522166387493021,0.49823493454627055
49,MT,2020,1.372504159733777,0.5094579973712041
50,NL,2020,1.51189832398708,0.5587684951632782
51,NO,2020,1.6744359732379026,0.7322322000374664
52,PL,2020,1.5258606079017636,0.4874858286447008
53,PT,2020,1.5157153720303247,0.4661258748166659
54,RO,2020,1.3721287451150672,0.503151779326853
55,SE,2020,1.361122809363058,0.5195621509338527
56,SI,2020,1.5737882051972532,0.5046936553098373
57,SK,2020,1.3961900793926347,0.4716256368487578
58,AT,2021,1.4925439645890657,0.47601586279152497
59,BE,2021,1.8683244391414373,0.6878435921599557
60,BG,2021,1.4196689486052927,0.5037143588006523
61,CY,2021,,
62,CZ,2021,1.6198927509111982,0.4757931006573155
63,DE,2021,1.4852003884562148,0.49729317306495086
64,DK,2021,1.5689196331416138,0.5132226633048553
65,EE,2021,1.291937626739389,0.5095960561513087
66,ES,2021,1.547605616097174,0.4912114725585789
67,FI,2021,1.3331218680029855,0.5579475049511412
68,FR,2021,1.5206481617406469,0.48771359295500516
69,GR,2021,1.4525792353487732,0.4823781567855589
70,HR,2021,1.939188233630321,0.2680051053717913
71,HU,2021,1.4541756408803097,0.5364673895933891
72,IE,2021,1.483324044142236,0.4718296410037434
73,IS,2021,,
74,IT,2021,1.4914029007614393,0.46347493293822534
75,LT,2021,1.295079122001021,0.4636793078782345
76,LU,2021,1.519991239117341,0.4313482185580164
77,LV,2021,1.2522166387493021,0.49823493454627055
78,MT,2021,1.372504159733777,0.5094579973712041
79,NL,2021,1.51189832398708,0.5587684951632782
80,NO,2021,1.6744359732379026,0.7322322000374664
81,PL,2021,1.5258606079017636,0.4874858286447039
82,PT,2021,1.5157153720303247,0.4661258748166659
83,RO,2021,1.3721287451150672,0.503151779326853
84,SE,2021,1.361122809363058,0.5195621509338527
85,SI,2021,1.5737882051972532,0.5046936553098373
86,SK,2021,1.3961900793926347,0.4716256368487578
